date,IaaS
2017-06-05,83.85714285714286
2017-06-06,84.71428571428571
2017-06-07,85.57142857142857
2017-06-08,86.42857142857143
2017-06-09,87.28571428571429
2017-06-10,88.14285714285714
2017-06-11,89.0
2017-06-12,88.85714285714286
2017-06-13,88.71428571428571
2017-06-14,88.57142857142857
2017-06-15,88.42857142857143
2017-06-16,88.28571428571429
2017-06-17,88.14285714285714
2017-06-18,88.0
2017-06-19,85.28571428571429
2017-06-20,82.57142857142857
2017-06-21,79.85714285714286
2017-06-22,77.14285714285714
2017-06-23,74.42857142857143
2017-06-24,71.71428571428572
2017-06-25,69.0
2017-06-26,69.71428571428571
2017-06-27,70.42857142857143
2017-06-28,71.14285714285714
2017-06-29,71.85714285714286
2017-06-30,72.57142857142857
2017-07-01,73.28571428571429
2017-07-02,74.0
2017-07-03,75.85714285714286
2017-07-04,77.71428571428571
2017-07-05,79.57142857142857
2017-07-06,81.42857142857143
2017-07-07,83.28571428571429
2017-07-08,85.14285714285714
2017-07-09,87.0
2017-07-10,85.0
2017-07-11,83.0
2017-07-12,81.0
2017-07-13,79.0
2017-07-14,77.0
2017-07-15,75.0
2017-07-16,73.0
2017-07-17,73.14285714285714
2017-07-18,73.28571428571429
2017-07-19,73.42857142857143
2017-07-20,73.57142857142857
2017-07-21,73.71428571428571
2017-07-22,73.85714285714286
2017-07-23,74.0
2017-07-24,75.28571428571429
2017-07-25,76.57142857142857
2017-07-26,77.85714285714286
2017-07-27,79.14285714285714
2017-07-28,80.42857142857143
2017-07-29,81.71428571428572
2017-07-30,83.0
2017-07-31,82.42857142857143
2017-08-01,81.85714285714286
2017-08-02,81.28571428571429
2017-08-03,80.71428571428571
2017-08-04,80.14285714285714
2017-08-05,79.57142857142857
2017-08-06,79.0
2017-08-07,78.28571428571429
2017-08-08,77.57142857142857
2017-08-09,76.85714285714286
2017-08-10,76.14285714285714
2017-08-11,75.42857142857143
2017-08-12,74.71428571428571
2017-08-13,74.0
2017-08-14,74.28571428571429
2017-08-15,74.57142857142857
2017-08-16,74.85714285714286
2017-08-17,75.14285714285714
2017-08-18,75.42857142857143
2017-08-19,75.71428571428571
2017-08-20,76.0
2017-08-21,77.0
2017-08-22,78.0
2017-08-23,79.0
2017-08-24,80.0
2017-08-25,81.0
2017-08-26,82.0
2017-08-27,83.0
2017-08-28,83.14285714285714
2017-08-29,83.28571428571429
2017-08-30,83.42857142857143
2017-08-31,83.57142857142857
2017-09-01,83.71428571428571
2017-09-02,83.85714285714286
