date,google assistant
2017-04-19,19.571428571428573
2017-04-20,19.428571428571427
2017-04-21,19.285714285714285
2017-04-22,19.142857142857142
2017-04-23,19.0
2017-04-24,19.142857142857142
2017-04-25,19.285714285714285
2017-04-26,19.428571428571427
2017-04-27,19.571428571428573
2017-04-28,19.714285714285715
2017-04-29,19.857142857142858
2017-04-30,20.0
2017-05-01,20.0
2017-05-02,20.0
2017-05-03,20.0
2017-05-04,20.0
2017-05-05,20.0
2017-05-06,20.0
2017-05-07,20.0
2017-05-08,23.285714285714285
2017-05-09,26.57142857142857
2017-05-10,29.857142857142858
2017-05-11,33.14285714285714
2017-05-12,36.42857142857143
2017-05-13,39.714285714285715
2017-05-14,43.0
2017-05-15,41.142857142857146
2017-05-16,39.285714285714285
2017-05-17,37.42857142857143
2017-05-18,35.57142857142857
2017-05-19,33.714285714285715
2017-05-20,31.857142857142858
2017-05-21,30.0
2017-05-22,29.571428571428573
2017-05-23,29.142857142857142
2017-05-24,28.714285714285715
2017-05-25,28.285714285714285
2017-05-26,27.857142857142858
2017-05-27,27.42857142857143
2017-05-28,27.0
2017-05-29,26.714285714285715
2017-05-30,26.428571428571427
2017-05-31,26.142857142857142
2017-06-01,25.857142857142858
2017-06-02,25.571428571428573
2017-06-03,25.285714285714285
2017-06-04,25.0
2017-06-05,24.714285714285715
2017-06-06,24.428571428571427
2017-06-07,24.142857142857142
2017-06-08,23.857142857142858
2017-06-09,23.571428571428573
2017-06-10,23.285714285714285
2017-06-11,23.0
2017-06-12,22.571428571428573
2017-06-13,22.142857142857142
2017-06-14,21.714285714285715
2017-06-15,21.285714285714285
2017-06-16,20.857142857142858
2017-06-17,20.42857142857143
2017-06-18,20.0
2017-06-19,20.0
2017-06-20,20.0
2017-06-21,20.0
2017-06-22,20.0
2017-06-23,20.0
2017-06-24,20.0
2017-06-25,20.0
2017-06-26,20.0
2017-06-27,20.0
2017-06-28,20.0
2017-06-29,20.0
2017-06-30,20.0
2017-07-01,20.0
2017-07-02,20.0
2017-07-03,20.0
2017-07-04,20.0
2017-07-05,20.0
2017-07-06,20.0
2017-07-07,20.0
2017-07-08,20.0
2017-07-09,20.0
2017-07-10,20.714285714285715
2017-07-11,21.428571428571427
2017-07-12,22.142857142857142
2017-07-13,22.857142857142858
2017-07-14,23.571428571428573
2017-07-15,24.285714285714285
2017-07-16,25.0
2017-07-17,24.571428571428573
2017-07-18,24.142857142857142
2017-07-19,23.714285714285715
2017-07-20,23.285714285714285
2017-07-21,22.857142857142858
2017-07-22,22.42857142857143
2017-07-23,22.0
2017-07-24,22.285714285714285
2017-07-25,22.571428571428573
2017-07-26,22.857142857142858
2017-07-27,23.142857142857142
2017-07-28,23.428571428571427
2017-07-29,23.714285714285715
2017-07-30,24.0
2017-07-31,23.857142857142858
2017-08-01,23.714285714285715
2017-08-02,23.571428571428573
2017-08-03,23.428571428571427
2017-08-04,23.285714285714285
2017-08-05,23.142857142857142
2017-08-06,23.0
2017-08-07,24.714285714285715
2017-08-08,26.428571428571427
2017-08-09,28.142857142857142
2017-08-10,29.857142857142858
2017-08-11,31.57142857142857
2017-08-12,33.285714285714285
2017-08-13,35.0
2017-08-14,36.0
2017-08-15,37.0
2017-08-16,38.0
2017-08-17,39.0
2017-08-18,40.0
2017-08-19,41.0
2017-08-20,42.0
2017-08-21,40.142857142857146
2017-08-22,38.285714285714285
2017-08-23,36.42857142857143
2017-08-24,34.57142857142857
2017-08-25,32.714285714285715
2017-08-26,30.857142857142858
2017-08-27,29.0
2017-08-28,28.571428571428573
2017-08-29,28.142857142857142
2017-08-30,27.714285714285715
2017-08-31,27.285714285714285
2017-09-01,26.857142857142858
2017-09-02,26.42857142857143
2017-09-03,26.0
2017-09-04,25.714285714285715
2017-09-05,25.428571428571427
2017-09-06,25.142857142857142
2017-09-07,24.857142857142858
2017-09-08,24.571428571428573
2017-09-09,24.285714285714285
2017-09-10,24.0
2017-09-11,24.0
2017-09-12,24.0
2017-09-13,24.0
2017-09-14,24.0
2017-09-15,24.0
2017-09-16,24.0
2017-09-17,24.0
2017-09-18,24.571428571428573
2017-09-19,25.142857142857142
2017-09-20,25.714285714285715
2017-09-21,26.285714285714285
2017-09-22,26.857142857142858
2017-09-23,27.428571428571427
2017-09-24,28.0
2017-09-25,29.571428571428573
2017-09-26,31.142857142857142
2017-09-27,32.714285714285715
2017-09-28,34.285714285714285
2017-09-29,35.857142857142854
2017-09-30,37.42857142857143
2017-10-01,39.0
2017-10-02,38.285714285714285
2017-10-03,37.57142857142857
2017-10-04,36.857142857142854
2017-10-05,36.142857142857146
2017-10-06,35.42857142857143
2017-10-07,34.714285714285715
2017-10-08,34.0
2017-10-09,33.857142857142854
2017-10-10,33.714285714285715
2017-10-11,33.57142857142857
2017-10-12,33.42857142857143
2017-10-13,33.285714285714285
2017-10-14,33.142857142857146
2017-10-15,33.0
2017-10-16,33.57142857142857
2017-10-17,34.142857142857146
2017-10-18,34.714285714285715
2017-10-19,35.285714285714285
2017-10-20,35.857142857142854
2017-10-21,36.42857142857143
2017-10-22,37.0
2017-10-23,37.42857142857143
2017-10-24,37.857142857142854
2017-10-25,38.285714285714285
2017-10-26,38.714285714285715
2017-10-27,39.142857142857146
2017-10-28,39.57142857142857
2017-10-29,40.0
2017-10-30,40.42857142857143
2017-10-31,40.857142857142854
2017-11-01,41.285714285714285
2017-11-02,41.714285714285715
2017-11-03,42.142857142857146
2017-11-04,42.57142857142857
2017-11-05,43.0
2017-11-06,43.714285714285715
2017-11-07,44.42857142857143
2017-11-08,45.142857142857146
2017-11-09,45.857142857142854
2017-11-10,46.57142857142857
2017-11-11,47.285714285714285
2017-11-12,48.0
2017-11-13,47.0
2017-11-14,46.0
2017-11-15,45.0
2017-11-16,44.0
2017-11-17,43.0
2017-11-18,42.0
2017-11-19,41.0
2017-11-20,41.0
2017-11-21,41.0
2017-11-22,41.0
2017-11-23,41.0
2017-11-24,41.0
2017-11-25,41.0
2017-11-26,41.0
2017-11-27,40.857142857142854
2017-11-28,40.714285714285715
2017-11-29,40.57142857142857
2017-11-30,40.42857142857143
2017-12-01,40.285714285714285
2017-12-02,40.142857142857146
2017-12-03,40.0
2017-12-04,40.57142857142857
2017-12-05,41.142857142857146
2017-12-06,41.714285714285715
2017-12-07,42.285714285714285
2017-12-08,42.857142857142854
2017-12-09,43.42857142857143
2017-12-10,44.0
2017-12-11,44.142857142857146
2017-12-12,44.285714285714285
2017-12-13,44.42857142857143
2017-12-14,44.57142857142857
2017-12-15,44.714285714285715
2017-12-16,44.857142857142854
2017-12-17,45.0
2017-12-18,46.714285714285715
2017-12-19,48.42857142857143
2017-12-20,50.14285714285714
2017-12-21,51.857142857142854
2017-12-22,53.57142857142857
2017-12-23,55.285714285714285
2017-12-24,57.0
2017-12-25,54.57142857142857
2017-12-26,52.142857142857146
2017-12-27,49.714285714285715
2017-12-28,47.285714285714285
2017-12-29,44.85714285714286
2017-12-30,42.42857142857143
2017-12-31,40.0
2018-01-01,40.285714285714285
2018-01-02,40.57142857142857
2018-01-03,40.857142857142854
2018-01-04,41.142857142857146
2018-01-05,41.42857142857143
2018-01-06,41.714285714285715
2018-01-07,42.0
2018-01-08,40.857142857142854
2018-01-09,39.714285714285715
2018-01-10,38.57142857142857
2018-01-11,37.42857142857143
2018-01-12,36.285714285714285
2018-01-13,35.142857142857146
2018-01-14,34.0
2018-01-15,33.57142857142857
2018-01-16,33.142857142857146
2018-01-17,32.714285714285715
2018-01-18,32.285714285714285
2018-01-19,31.857142857142858
2018-01-20,31.42857142857143
2018-01-21,31.0
2018-01-22,30.857142857142858
2018-01-23,30.714285714285715
2018-01-24,30.571428571428573
2018-01-25,30.428571428571427
2018-01-26,30.285714285714285
2018-01-27,30.142857142857142
2018-01-28,30.0
2018-01-29,29.714285714285715
2018-01-30,29.428571428571427
2018-01-31,29.142857142857142
2018-02-01,28.857142857142858
2018-02-02,28.571428571428573
2018-02-03,28.285714285714285
2018-02-04,28.0
2018-02-05,28.428571428571427
2018-02-06,28.857142857142858
2018-02-07,29.285714285714285
2018-02-08,29.714285714285715
2018-02-09,30.142857142857142
2018-02-10,30.57142857142857
2018-02-11,31.0
2018-02-12,30.571428571428573
2018-02-13,30.142857142857142
2018-02-14,29.714285714285715
2018-02-15,29.285714285714285
2018-02-16,28.857142857142858
2018-02-17,28.42857142857143
2018-02-18,28.0
2018-02-19,28.571428571428573
2018-02-20,29.142857142857142
2018-02-21,29.714285714285715
2018-02-22,30.285714285714285
2018-02-23,30.857142857142858
2018-02-24,31.428571428571427
2018-02-25,32.0
2018-02-26,32.0
2018-02-27,32.0
2018-02-28,32.0
2018-03-01,32.0
2018-03-02,32.0
2018-03-03,32.0
2018-03-04,32.0
2018-03-05,32.57142857142857
2018-03-06,33.142857142857146
2018-03-07,33.714285714285715
2018-03-08,34.285714285714285
2018-03-09,34.857142857142854
