date,self-driving car
2017-04-05,19.42857142857143
2017-04-06,18.571428571428573
2017-04-07,17.714285714285715
2017-04-08,16.857142857142858
2017-04-09,16.0
2017-04-10,16.285714285714285
2017-04-11,16.571428571428573
2017-04-12,16.857142857142858
2017-04-13,17.142857142857142
2017-04-14,17.428571428571427
2017-04-15,17.714285714285715
2017-04-16,18.0
2017-04-17,18.428571428571427
2017-04-18,18.857142857142858
2017-04-19,19.285714285714285
2017-04-20,19.714285714285715
2017-04-21,20.142857142857142
2017-04-22,20.57142857142857
2017-04-23,21.0
2017-04-24,20.714285714285715
2017-04-25,20.428571428571427
2017-04-26,20.142857142857142
2017-04-27,19.857142857142858
2017-04-28,19.571428571428573
2017-04-29,19.285714285714285
2017-04-30,19.0
2017-05-01,18.428571428571427
2017-05-02,17.857142857142858
2017-05-03,17.285714285714285
2017-05-04,16.714285714285715
2017-05-05,16.142857142857142
2017-05-06,15.571428571428571
2017-05-07,15.0
2017-05-08,15.285714285714286
2017-05-09,15.571428571428571
2017-05-10,15.857142857142858
2017-05-11,16.142857142857142
2017-05-12,16.428571428571427
2017-05-13,16.714285714285715
2017-05-14,17.0
2017-05-15,16.714285714285715
2017-05-16,16.428571428571427
2017-05-17,16.142857142857142
2017-05-18,15.857142857142858
2017-05-19,15.571428571428571
2017-05-20,15.285714285714286
2017-05-21,15.0
2017-05-22,14.857142857142858
2017-05-23,14.714285714285714
2017-05-24,14.571428571428571
2017-05-25,14.428571428571429
2017-05-26,14.285714285714286
2017-05-27,14.142857142857142
2017-05-28,14.0
2017-05-29,13.142857142857142
2017-05-30,12.285714285714286
2017-05-31,11.428571428571429
2017-06-01,10.571428571428571
2017-06-02,9.714285714285715
2017-06-03,8.857142857142858
2017-06-04,8.0
2017-06-05,9.571428571428571
2017-06-06,11.142857142857142
2017-06-07,12.714285714285715
2017-06-08,14.285714285714285
2017-06-09,15.857142857142858
2017-06-10,17.42857142857143
2017-06-11,19.0
2017-06-12,18.142857142857142
2017-06-13,17.285714285714285
2017-06-14,16.42857142857143
2017-06-15,15.571428571428571
2017-06-16,14.714285714285715
2017-06-17,13.857142857142858
2017-06-18,13.0
2017-06-19,13.0
2017-06-20,13.0
2017-06-21,13.0
2017-06-22,13.0
2017-06-23,13.0
2017-06-24,13.0
2017-06-25,13.0
2017-06-26,13.285714285714286
2017-06-27,13.571428571428571
2017-06-28,13.857142857142858
2017-06-29,14.142857142857142
2017-06-30,14.428571428571429
2017-07-01,14.714285714285714
2017-07-02,15.0
2017-07-03,14.714285714285714
2017-07-04,14.428571428571429
2017-07-05,14.142857142857142
2017-07-06,13.857142857142858
2017-07-07,13.571428571428571
2017-07-08,13.285714285714286
2017-07-09,13.0
2017-07-10,12.857142857142858
2017-07-11,12.714285714285714
2017-07-12,12.571428571428571
2017-07-13,12.428571428571429
2017-07-14,12.285714285714286
2017-07-15,12.142857142857142
2017-07-16,12.0
2017-07-17,12.857142857142858
2017-07-18,13.714285714285714
2017-07-19,14.571428571428571
2017-07-20,15.428571428571429
2017-07-21,16.285714285714285
2017-07-22,17.142857142857142
2017-07-23,18.0
2017-07-24,16.571428571428573
2017-07-25,15.142857142857142
2017-07-26,13.714285714285715
2017-07-27,12.285714285714285
2017-07-28,10.857142857142858
2017-07-29,9.428571428571429
2017-07-30,8.0
2017-07-31,9.142857142857142
2017-08-01,10.285714285714285
2017-08-02,11.428571428571429
2017-08-03,12.571428571428571
2017-08-04,13.714285714285714
2017-08-05,14.857142857142858
2017-08-06,16.0
2017-08-07,14.571428571428571
2017-08-08,13.142857142857142
2017-08-09,11.714285714285715
2017-08-10,10.285714285714285
2017-08-11,8.857142857142858
2017-08-12,7.428571428571429
2017-08-13,6.0
2017-08-14,7.714285714285714
2017-08-15,9.428571428571429
2017-08-16,11.142857142857142
2017-08-17,12.857142857142858
2017-08-18,14.571428571428571
2017-08-19,16.285714285714285
2017-08-20,18.0
2017-08-21,17.285714285714285
2017-08-22,16.571428571428573
2017-08-23,15.857142857142858
2017-08-24,15.142857142857142
2017-08-25,14.428571428571429
2017-08-26,13.714285714285715
2017-08-27,13.0
2017-08-28,13.428571428571429
2017-08-29,13.857142857142858
2017-08-30,14.285714285714285
2017-08-31,14.714285714285714
2017-09-01,15.142857142857142
2017-09-02,15.571428571428571
2017-09-03,16.0
2017-09-04,15.571428571428571
2017-09-05,15.142857142857142
2017-09-06,14.714285714285715
2017-09-07,14.285714285714286
2017-09-08,13.857142857142858
2017-09-09,13.428571428571429
2017-09-10,13.0
2017-09-11,13.0
2017-09-12,13.0
2017-09-13,13.0
2017-09-14,13.0
2017-09-15,13.0
2017-09-16,13.0
2017-09-17,13.0
2017-09-18,13.142857142857142
2017-09-19,13.285714285714286
2017-09-20,13.428571428571429
2017-09-21,13.571428571428571
2017-09-22,13.714285714285714
2017-09-23,13.857142857142858
2017-09-24,14.0
2017-09-25,14.0
2017-09-26,14.0
2017-09-27,14.0
2017-09-28,14.0
2017-09-29,14.0
2017-09-30,14.0
2017-10-01,14.0
2017-10-02,13.714285714285714
2017-10-03,13.428571428571429
2017-10-04,13.142857142857142
2017-10-05,12.857142857142858
2017-10-06,12.571428571428571
2017-10-07,12.285714285714286
2017-10-08,12.0
2017-10-09,13.0
2017-10-10,14.0
2017-10-11,15.0
2017-10-12,16.0
2017-10-13,17.0
2017-10-14,18.0
2017-10-15,19.0
2017-10-16,18.571428571428573
2017-10-17,18.142857142857142
2017-10-18,17.714285714285715
2017-10-19,17.285714285714285
2017-10-20,16.857142857142858
2017-10-21,16.42857142857143
2017-10-22,16.0
2017-10-23,15.285714285714286
2017-10-24,14.571428571428571
2017-10-25,13.857142857142858
2017-10-26,13.142857142857142
2017-10-27,12.428571428571429
2017-10-28,11.714285714285715
2017-10-29,11.0
2017-10-30,11.428571428571429
2017-10-31,11.857142857142858
2017-11-01,12.285714285714285
2017-11-02,12.714285714285714
2017-11-03,13.142857142857142
2017-11-04,13.571428571428571
2017-11-05,14.0
2017-11-06,13.571428571428571
2017-11-07,13.142857142857142
2017-11-08,12.714285714285715
2017-11-09,12.285714285714286
2017-11-10,11.857142857142858
2017-11-11,11.428571428571429
2017-11-12,11.0
2017-11-13,11.428571428571429
2017-11-14,11.857142857142858
2017-11-15,12.285714285714285
2017-11-16,12.714285714285714
2017-11-17,13.142857142857142
2017-11-18,13.571428571428571
2017-11-19,14.0
2017-11-20,14.571428571428571
2017-11-21,15.142857142857142
2017-11-22,15.714285714285714
2017-11-23,16.285714285714285
2017-11-24,16.857142857142858
2017-11-25,17.428571428571427
2017-11-26,18.0
2017-11-27,17.857142857142858
2017-11-28,17.714285714285715
2017-11-29,17.571428571428573
2017-11-30,17.428571428571427
2017-12-01,17.285714285714285
2017-12-02,17.142857142857142
2017-12-03,17.0
2017-12-04,16.285714285714285
2017-12-05,15.571428571428571
2017-12-06,14.857142857142858
2017-12-07,14.142857142857142
2017-12-08,13.428571428571429
2017-12-09,12.714285714285715
2017-12-10,12.0
2017-12-11,11.428571428571429
2017-12-12,10.857142857142858
2017-12-13,10.285714285714286
2017-12-14,9.714285714285715
2017-12-15,9.142857142857142
2017-12-16,8.571428571428571
2017-12-17,8.0
2017-12-18,8.285714285714286
2017-12-19,8.571428571428571
2017-12-20,8.857142857142858
2017-12-21,9.142857142857142
2017-12-22,9.428571428571429
2017-12-23,9.714285714285714
2017-12-24,10.0
2017-12-25,9.428571428571429
2017-12-26,8.857142857142858
2017-12-27,8.285714285714286
2017-12-28,7.714285714285714
2017-12-29,7.142857142857143
2017-12-30,6.571428571428571
2017-12-31,6.0
2018-01-01,7.714285714285714
2018-01-02,9.428571428571429
2018-01-03,11.142857142857142
2018-01-04,12.857142857142858
2018-01-05,14.571428571428571
2018-01-06,16.285714285714285
2018-01-07,18.0
2018-01-08,17.285714285714285
2018-01-09,16.571428571428573
2018-01-10,15.857142857142858
2018-01-11,15.142857142857142
2018-01-12,14.428571428571429
2018-01-13,13.714285714285715
2018-01-14,13.0
2018-01-15,13.428571428571429
2018-01-16,13.857142857142858
2018-01-17,14.285714285714285
2018-01-18,14.714285714285714
2018-01-19,15.142857142857142
2018-01-20,15.571428571428571
2018-01-21,16.0
2018-01-22,15.428571428571429
2018-01-23,14.857142857142858
2018-01-24,14.285714285714286
2018-01-25,13.714285714285715
2018-01-26,13.142857142857142
2018-01-27,12.571428571428571
2018-01-28,12.0
2018-01-29,11.857142857142858
2018-01-30,11.714285714285714
2018-01-31,11.571428571428571
2018-02-01,11.428571428571429
2018-02-02,11.285714285714286
2018-02-03,11.142857142857142
2018-02-04,11.0
2018-02-05,10.714285714285714
2018-02-06,10.428571428571429
2018-02-07,10.142857142857142
2018-02-08,9.857142857142858
2018-02-09,9.571428571428571
2018-02-10,9.285714285714286
2018-02-11,9.0
2018-02-12,9.857142857142858
2018-02-13,10.714285714285714
2018-02-14,11.571428571428571
2018-02-15,12.428571428571429
2018-02-16,13.285714285714285
2018-02-17,14.142857142857142
2018-02-18,15.0
2018-02-19,14.857142857142858
2018-02-20,14.714285714285714
2018-02-21,14.571428571428571
